Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   563/1999        10G    0.01833   0.009003   0.008543         85        640: 100%|██████████| 162/162 [01:05<00:00,  2.48it/s]                           
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 27/27 [00:17<00:00,  1.55it/s]                  
                   all       3448      10017      0.884      0.888      0.915      0.825
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 463, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

564 epochs completed in 13.372 hours.
Optimizer stripped from Traffic_signs/exp15/weights/last.pt, 15.5MB
Optimizer stripped from Traffic_signs/exp15/weights/best.pt, 15.5MB

Validating Traffic_signs/exp15/weights/best.pt...
Fusing layers... 
Model summary: 157 layers, 7549525 parameters, 0 gradients, 17.5 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 27/27 [00:22<00:00,  1.21it/s]                  
                   all       3448      10017      0.879      0.895      0.918      0.828
                     0       3448         44       0.96          1      0.995      0.941
                     1       3448         51      0.951      0.941      0.965      0.883
                     2       3448         60      0.966      0.938      0.982      0.903
                     3       3448         36      0.835      0.833      0.926      0.852
                     4       3448         48       0.83      0.913      0.934      0.863
                     5       3448         45      0.918      0.889      0.965      0.857
                     6       3448         56      0.918      0.911      0.951      0.826
                     7       3448         52      0.921      0.902      0.961      0.882
                     8       3448         49      0.932      0.959      0.991      0.926
                     9       3448         43      0.896       0.93      0.982      0.887
                    10       3448         60      0.927      0.933       0.98      0.877
                    11       3448         57      0.826      0.752      0.867      0.793
                    12       3448         59      0.794      0.712      0.823      0.755
                    13       3448         61      0.983      0.967      0.991      0.894
                    14       3448         56      0.981      0.911      0.968      0.888
                    15       3448         55          1      0.941      0.971      0.902
                    16       3448         51      0.896      0.847      0.943       0.89
                    17       3448         52      0.845      0.904      0.967      0.921
                    18       3448         61      0.979      0.951      0.979      0.928
                    19       3448         47      0.901      0.979      0.982      0.914
                    20       3448         52      0.738      0.846      0.868      0.797
                    21       3448         49      0.966          1      0.995      0.952
                    22       3448         55      0.946      0.964       0.99      0.934
                    23       3448         41      0.898      0.951      0.977      0.896
                    24       3448         46       0.97      0.957      0.971      0.888
                    25       3448         55      0.907      0.964      0.969      0.873
                    26       3448         57      0.979      0.912       0.94      0.802
                    27       3448         49      0.942          1      0.994      0.904
                    28       3448         40      0.964       0.95      0.958      0.854
                    29       3448         50      0.914       0.98      0.969      0.853
                    30       3448         55      0.709      0.754      0.848       0.76
