      Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
        9/9      2.47G    0.01527   0.009594    0.08349         12        640: 100%|██████████| 1378/1378 [1:03:29<00:00, 
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 689/689 [09:00<
                   all      13772      39631      0.576      0.253      0.216      0.184

10 epochs completed in 12.163 hours.
Optimizer stripped from Traffic_signs/exp9/weights/last.pt, 15.5MB
Optimizer stripped from Traffic_signs/exp9/weights/best.pt, 15.5MB

Validating Traffic_signs/exp9/weights/best.pt...
Fusing layers... 
Model summary: 157 layers, 7549525 parameters, 0 gradients, 17.5 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 689/689 [09:05<
                   all      13772      39631      0.577      0.254      0.215      0.184
                     0      13772        198          1          0     0.0366     0.0335
                     1      13772        197          1     0.0109      0.166      0.145
                     2      13772        197          1          0     0.0408     0.0361
                     3      13772        196          1          0     0.0427     0.0374
                     4      13772        197          1          0      0.034     0.0296
                     5      13772        196          1          0     0.0435     0.0357
                     6      13772        200          1          0     0.0445     0.0348
                     7      13772        197          1          0     0.0299     0.0257
                     8      13772        197          1          0     0.0847     0.0767
                     9      13772        199          1          0     0.0358     0.0316
                    10      13772        196          1          0       0.04     0.0331
                    11      13772        194          1          0     0.0336     0.0302
                    12      13772        197          1          0     0.0437     0.0391
                    13      13772        199          1          0     0.0382     0.0322
                    14      13772        199          1          0     0.0497     0.0434
                    15      13772        197          1          0     0.0464     0.0414
                    16      13772        197          1          0     0.0303      0.027
                    17      13772        199          1          0     0.0382     0.0339
                    18      13772        198          1          0     0.0828     0.0746
                    19      13772        198          1          0      0.041     0.0365
                    20      13772        199          1          0     0.0351     0.0315
                    21      13772        199          1          0     0.0388     0.0355
                    22      13772        197          1          0     0.0384     0.0334
                    23      13772        196          1          0     0.0355     0.0309
                    24      13772        199          1          0     0.0468     0.0413
                    25      13772        198          1          0     0.0671     0.0608
                    26      13772        200      0.398      0.495      0.476      0.409
                    27      13772        200      0.212       0.89       0.33      0.272
                    28      13772        197      0.156      0.843      0.218      0.177
                    29      13772        199      0.141      0.955      0.187      0.149
                    30      13772        199          1          0     0.0386     0.0345
                    31      13772        197          0          0     0.0296     0.0252
                    32      13772        196          1          0     0.0499     0.0454
                    33      13772        194          1          0     0.0406     0.0373
                    34      13772        198          1          0     0.0501     0.0457
                    35      13772        198          1          0     0.0597      0.054
                    36      13772        344      0.338      0.945      0.934      0.763
                    37      13772        198          1          0       0.05     0.0445
                    38      13772        199          1          0      0.142      0.129
                    39      13772        196          1          0     0.0287     0.0254
                    40      13772        196          1          0     0.0775     0.0724
                    41      13772        197          1          0     0.0637     0.0597
                    42      13772        230      0.245      0.948        0.9      0.738
                    43      13772        197          1          0     0.0376     0.0348
                    44      13772        198          1          0     0.0387     0.0348
                    45      13772        197          1          0     0.0399     0.0363
                    46      13772        197          1          0     0.0529     0.0477
                    47      13772        195          1          0      0.107     0.0976
                    48      13772        198          1          0     0.0667     0.0634
                    49      13772        197       0.47      0.457      0.401      0.344
                    50      13772        198          1          0     0.0831     0.0741
                    51      13772        197          1          0     0.0922     0.0821
                    52      13772        196      0.335      0.434      0.323      0.266
                    53      13772        196          1          0      0.119      0.108
                    54      13772        200          1          0      0.121      0.105
                    55      13772        199          1          0     0.0989     0.0882
                    56      13772        196          1          0     0.0913     0.0805
                    57      13772        199          1          0     0.0532     0.0495
                    58      13772        197      0.705      0.391       0.45      0.386
                    59      13772        199          1          0      0.118      0.103
                    60      13772        199          1          0     0.0388     0.0348
                    61      13772        199      0.241      0.779      0.321      0.258
                    62      13772        198          1          0     0.0824     0.0697
                    63      13772        198          1          0     0.0445     0.0398
                    64      13772        199          1          0     0.0228     0.0197
                    65      13772        199          1          0     0.0376     0.0321
                    66      13772        198          1          0     0.0699      0.061
                    67      13772        197          1          0     0.0672     0.0598
                    68      13772        196          1          0     0.0526     0.0465
                    69      13772        198          1          0      0.088     0.0802
                    70      13772        194          1          0     0.0735     0.0667
                    71      13772        198          1          0      0.106     0.0976
                    72      13772        198          1          0     0.0743     0.0668
                    73      13772        200          1          0      0.128      0.115
                    74      13772        198          1          0     0.0641      0.056
                    75      13772        200          1          0      0.048     0.0417
                    76      13772        197          1          0     0.0566     0.0524
                    77      13772        198          1          0      0.033     0.0294
                    78      13772        198          1          0     0.0414     0.0371
                    79      13772        198          1          0     0.0409     0.0384
                    80      13772        199      0.399      0.618      0.428      0.388
                    81      13772        198      0.507      0.354      0.432      0.396
                    82      13772        200          1          0      0.177      0.143
                    83      13772        197      0.282      0.169      0.263      0.233
                    84      13772        200      0.558      0.245      0.371      0.323
                    85      13772        208      0.231      0.718      0.454      0.348
                    86      13772        198      0.244        0.5      0.313      0.267
                    87      13772        198      0.247      0.864      0.477      0.404
                    88      13772        199      0.265      0.879      0.378      0.324
                    89      13772        199      0.204      0.573      0.378      0.325
                    90      13772        199      0.338      0.653      0.397      0.329
                    91      13772        197      0.355      0.904      0.811      0.727
                    92      13772        195      0.337      0.908      0.743      0.634
                    93      13772        195          1          0      0.287      0.262
                    94      13772        197      0.235      0.772      0.467      0.425
                    95      13772        200      0.457      0.325      0.348       0.31
                    96      13772        197      0.361      0.792      0.602      0.558
                    97      13772        200        0.2       0.06      0.147      0.136
                    98      13772        199          1          0      0.165      0.143
                    99      13772        199      0.163      0.638       0.35      0.305
                   100      13772        198      0.303      0.778      0.383      0.318
                   101      13772        199       0.19      0.754      0.316      0.275
                   102      13772        198      0.727     0.0152        0.2      0.182
                   103      13772        199      0.112     0.0905      0.152      0.134
                   104      13772        197      0.272      0.746      0.409      0.359
                   105      13772        197      0.244      0.523      0.194      0.173
                   106      13772        195      0.123     0.0205      0.139      0.122
                   107      13772        199      0.493      0.548      0.466      0.416
                   108      13772        197      0.351      0.756       0.52      0.467
                   109      13772        199      0.258      0.774      0.521      0.465
                   110      13772        199      0.292      0.819       0.56      0.495
                   111      13772        198      0.457      0.606      0.587      0.539
                   112      13772        197          1          0     0.0692     0.0609
                   113      13772        198          1          0     0.0803     0.0708
                   114      13772        198          1          0     0.0288      0.025
                   115      13772        197          1          0      0.149      0.129
                   116      13772        199      0.252      0.638      0.323      0.285
                   117      13772        198      0.305      0.687      0.311       0.27
                   118      13772        210       0.56      0.914      0.916      0.787
                   119      13772        197      0.281      0.614      0.301      0.282
                   120      13772        198      0.195      0.773      0.576      0.508
                   121      13772        196      0.244      0.913      0.774      0.675
                   122      13772        201      0.823      0.162      0.274      0.191
                   123      13772        196      0.469     0.0102     0.0806     0.0686
                   124      13772        194          0          0     0.0754     0.0689
                   125      13772        194          1          0     0.0933     0.0816
                   126      13772        200          1          0     0.0805     0.0672
                   127      13772        197          0          0      0.156      0.137
                   128      13772        196      0.297     0.0131     0.0904      0.081
                   129      13772        195          1          0     0.0868     0.0745
                   130      13772        198          0          0       0.11        0.1
                   131      13772        198      0.272      0.646      0.602      0.549
                   132      13772        196          1          0     0.0687     0.0611
                   133      13772        200          1          0     0.0463     0.0393
                   134      13772        196          1          0      0.082     0.0709
                   135      13772        207       0.45      0.536      0.493      0.413
                   136      13772        197          0          0     0.0835     0.0683
                   137      13772        199       0.25      0.653      0.538      0.485
                   138      13772        193      0.299      0.549      0.447      0.393
                   139      13772        197          0          0      0.128      0.117
                   140      13772        199      0.266      0.603      0.416       0.36
                   141      13772        197      0.458      0.416      0.373      0.335
                   142      13772        199      0.182      0.658      0.265      0.229
                   143      13772        199      0.241      0.784      0.315      0.271
                   144      13772        197       0.75      0.492      0.511       0.44
                   145      13772        196      0.388      0.663      0.488      0.435
                   146      13772        196      0.201      0.791      0.325      0.284
                   147      13772        192          1          0     0.0965     0.0681
                   148      13772        195      0.213    0.00513       0.12     0.0876
                   149      13772        196      0.212      0.541      0.317      0.273
                   150      13772        198      0.146     0.0101      0.145      0.114
                   151      13772        200      0.193       0.14      0.125        0.1
                   152      13772        194      0.125     0.0721     0.0853     0.0688
                   153      13772        193      0.208      0.269      0.153      0.134
                   154      13772        199      0.167      0.201      0.119     0.0917
                   155      13772        199          0          0     0.0754      0.062
                   156      13772        197     0.0794     0.0102      0.167       0.14
                   157      13772        200          0          0     0.0573     0.0474
                   158      13772        196      0.241      0.383      0.179       0.16
                   159      13772        196          1          0      0.161      0.137
