Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   482/1999      8.34G    0.01816   0.008542    0.00826         66        640: 100%|██████████| 492/492 [02:11<00:00,  3.74it/s]                                                                       
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 83/83 [00:22<00:00,  3.73it/s]                                                              
                   all       3448      10017      0.933      0.923      0.955      0.873
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 382, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

483 epochs completed in 21.059 hours.
Optimizer stripped from Traffic_signs_v5m_scratch/exp/weights/last.pt, 43.8MB
Optimizer stripped from Traffic_signs_v5m_scratch/exp/weights/best.pt, 43.8MB

Validating Traffic_signs_v5m_scratch/exp/weights/best.pt...
Fusing layers... 
YOLOv5m_200 summary: 212 layers, 21657093 parameters, 0 gradients, 50.4 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 83/83 [00:26<00:00,  3.10it/s]                                                              
                   all       3448      10017      0.918      0.934      0.956      0.874
                     0       3448         44      0.939          1      0.991      0.947
                     1       3448         51      0.955       0.98      0.984      0.906
                     2       3448         60      0.967      0.981      0.988      0.903
                     3       3448         36      0.876      0.889      0.967       0.91
                     4       3448         48      0.882      0.936      0.957      0.898
                     5       3448         45      0.977      0.953      0.991      0.905
                     6       3448         56      0.971      0.964      0.983      0.864
                     7       3448         52      0.955      0.923      0.979      0.904
                     8       3448         49      0.986      0.959      0.994      0.933
                     9       3448         43      0.946      0.977      0.993      0.924
                    10       3448         60      0.983       0.95      0.979      0.888
                    11       3448         57      0.957      0.781       0.95      0.867
                    12       3448         59      0.813      0.864      0.907      0.848
                    13       3448         61          1       0.97      0.995      0.913
                    14       3448         56          1      0.944      0.991      0.892
                    15       3448         55      0.969      0.964      0.992      0.934
                    16       3448         51      0.964      0.902      0.986      0.936
                    17       3448         52      0.893          1      0.987      0.943
                    18       3448         61      0.966          1      0.995       0.95
                    19       3448         47      0.957      0.957      0.991      0.944
                    20       3448         52      0.789       0.79      0.928      0.876
                    21       3448         49      0.968          1      0.995      0.947
                    22       3448         55      0.992          1      0.995       0.95
                    23       3448         41      0.964          1      0.995      0.915
                    24       3448         46      0.997      0.978      0.975      0.912
                    25       3448         55      0.951          1      0.988      0.904
                    26       3448         57          1      0.907      0.926      0.822
                    27       3448         49      0.955          1      0.995      0.921
                    28       3448         40      0.954       0.95       0.97      0.895
                    29       3448         50      0.916          1      0.982      0.902
                    30       3448         55      0.775      0.855       0.91      0.841
                    31       3448         59      0.942      0.949      0.986      0.917
                    32       3448         47      0.808      0.896      0.955        0.9
                    33       3448         51      0.926      0.824      0.932      0.864
                    34       3448         52      0.962      0.962      0.993      0.917
                    35       3448         52      0.996          1      0.995      0.949
                    36       3448         79      0.987      0.972      0.981      0.859
                    37       3448         49      0.982       0.98      0.994      0.932
                    38       3448         47      0.882      0.979       0.99       0.94
                    39       3448         53      0.986      0.981      0.995      0.936
                    40       3448         42      0.998          1      0.995      0.941
                    41       3448         46      0.989          1      0.995      0.956
                    42       3448         52      0.876      0.923      0.976      0.848
                    43       3448         47      0.985      0.936      0.974      0.902
                    44       3448         57      0.931      0.947      0.969      0.883
                    45       3448         48      0.959      0.985      0.994      0.913
                    46       3448         53      0.963      0.995      0.992      0.937
                    47       3448         51      0.956      0.961      0.986      0.941
                    48       3448         32      0.981          1      0.995      0.962
                    49       3448         59      0.973      0.983      0.994      0.909
                    50       3448         55       0.98      0.964      0.991      0.916
                    51       3448         57      0.979      0.947      0.989      0.913
                    52       3448         51      0.937      0.902      0.946      0.848
                    53       3448         44      0.888        0.9      0.962      0.892
                    54       3448         51      0.877      0.961      0.985      0.935
                    55       3448         49      0.907          1      0.993      0.893
                    56       3448         46      0.953          1      0.995      0.932
                    57       3448         49       0.98      0.985      0.995       0.95
                    58       3448         43          1      0.923      0.945       0.86
