Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   990/1999      9.59G    0.01995    0.01029    0.01296        171        640: 100%|██████████| 167/167 [00:48<00:00,  3.45it/s]                              
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 28/28 [00:15<00:00,  1.78it/s]                     
                   all       3448      10017      0.865      0.884      0.913      0.807
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 890, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

991 epochs completed in 18.288 hours.
Optimizer stripped from Traffic_signs_v5n_scratch/exp/weights/last.pt, 4.4MB
Optimizer stripped from Traffic_signs_v5n_scratch/exp/weights/best.pt, 4.4MB

Validating Traffic_signs_v5n_scratch/exp/weights/best.pt...
Fusing layers... 
YOLOv5n_200 summary: 157 layers, 2029765 parameters, 0 gradients, 5.0 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 28/28 [00:20<00:00,  1.39it/s]                     
                   all       3448      10017      0.868      0.885      0.913      0.808
                     0       3448         44      0.934      0.964      0.989      0.918
                     1       3448         51      0.933      0.941      0.952      0.857
                     2       3448         60          1      0.928      0.994      0.891
                     3       3448         36      0.774      0.762      0.874      0.797
                     4       3448         48       0.82      0.917      0.931      0.859
                     5       3448         45      0.942      0.889      0.958      0.852
                     6       3448         56      0.963      0.893      0.963      0.818
                     7       3448         52      0.996      0.827      0.935      0.823
                     8       3448         49      0.983      0.939      0.975      0.892
                     9       3448         43      0.931      0.941       0.97      0.875
                    10       3448         60      0.968      0.917      0.963      0.839
                    11       3448         57      0.774      0.781      0.893      0.803
                    12       3448         59      0.869       0.78      0.847      0.769
                    13       3448         61      0.954      0.902      0.978      0.864
                    14       3448         56        0.9      0.875       0.94      0.846
                    15       3448         55      0.958      0.927      0.973      0.892
                    16       3448         51      0.958       0.89      0.975      0.889
                    17       3448         52      0.842      0.885      0.961      0.887
                    18       3448         61      0.929      0.984      0.988      0.897
                    19       3448         47      0.857      0.896      0.966      0.878
                    20       3448         52      0.643      0.712      0.806       0.72
                    21       3448         49      0.973          1      0.995      0.921
                    22       3448         55      0.967      0.982      0.994       0.92
                    23       3448         41      0.906      0.936      0.974      0.895
                    24       3448         46      0.935      0.935      0.951      0.841
                    25       3448         55      0.914      0.969      0.975      0.869
                    26       3448         57      0.984      0.877      0.923      0.795
                    27       3448         49      0.959      0.958      0.974      0.882
                    28       3448         40      0.886       0.95      0.968      0.842
                    29       3448         50      0.913          1      0.941      0.807
                    30       3448         55      0.649      0.806      0.751      0.667
                    31       3448         59       0.87      0.881      0.959      0.849
                    32       3448         47      0.806      0.851      0.911      0.828
                    33       3448         51       0.72      0.745      0.873      0.797
                    34       3448         52       0.96      0.926      0.985      0.889
                    35       3448         52      0.963          1      0.995      0.888
                    36       3448         79      0.962      0.937      0.966      0.809
                    37       3448         49      0.891      0.959      0.972      0.901
                    38       3448         47      0.877      0.979      0.982      0.903
                    39       3448         53      0.999      0.962      0.966      0.887
                    40       3448         42      0.947      0.976      0.988      0.903
                    41       3448         46      0.992      0.978      0.994      0.929
                    42       3448         52      0.895      0.821      0.934      0.785
                    43       3448         47      0.922      0.851      0.957      0.852
                    44       3448         57      0.927      0.947      0.962      0.869
                    45       3448         48      0.962      0.979      0.986      0.881
                    46       3448         53      0.905      0.943      0.978      0.894
                    47       3448         51      0.825      0.961      0.958      0.917
                    48       3448         32      0.979      0.969      0.993      0.937
                    49       3448         59      0.936      0.966      0.981      0.876
                    50       3448         55      0.942      0.909      0.977      0.864
                    51       3448         57      0.925      0.877      0.956      0.865
                    52       3448         51          1      0.778      0.875      0.756
                    53       3448         44      0.842      0.886      0.938      0.855
                    54       3448         51      0.823      0.911      0.963      0.877
                    55       3448         49      0.888      0.939      0.979      0.879
                    56       3448         46      0.939      0.996      0.994      0.901
                    57       3448         49      0.983       0.98       0.99       0.92
                    58       3448         43      0.971       0.93      0.945      0.828
                    59       3448         43      0.971      0.977      0.975      0.847
                    60       3448         59      0.984      0.966      0.983      0.894
                    61       3448         44      0.954      0.943      0.973      0.809
                    62       3448         51      0.927      0.922      0.949      0.826
                    63       3448         41      0.977          1      0.995      0.923
                    64       3448         58      0.683      0.603      0.775      0.678
                    65       3448         42      0.517      0.843      0.637      0.574
                    66       3448         46      0.972          1      0.995      0.908
                    67       3448         62      0.985          1      0.995       0.92
                    68       3448         48      0.545      0.667      0.571      0.494
                    69       3448         53      0.595       0.66      0.722       0.65
